0,No Dust Cover,Dust Cover
225,13.54,10.92
226,13.66,10.79
227,13.66,10.92
228,13.66,10.92
229,13.66,10.79
230,13.54,10.92
231,13.66,10.92
232,13.66,10.79
233,13.66,10.92
234,13.79,10.79
235,13.79,10.92
236,13.66,10.79
237,13.67,10.78
238,13.79,10.79
239,13.66,10.79
240,13.66,10.92
241,13.79,10.79
242,13.66,10.79
243,13.91,10.79
244,13.79,10.79
245,13.67,10.79
246,13.67,10.79
247,13.66,10.92
248,13.79,10.79
249,13.67,10.79
250,13.67,10.79
251,13.67,10.79
252,13.55,10.79
253,13.55,10.79
254,13.42,10.66
255,13.42,10.66
256,13.29,10.66
257,13.42,10.52
258,13.3,10.52
259,13.29,10.53
260,13.17,10.4
261,13.17,10.27
262,13.04,10.27
263,13.16,10.27
264,13.04,10.26
265,12.91,10.14
266,12.91,10.14
267,12.79,10.14
268,12.79,9.87
269,12.54,9.87
270,12.41,9.74
271,12.28,9.75
272,12.28,9.61
273,12.16,9.48
274,12.02,9.48
275,11.91,9.35
276,11.65,9.22
277,11.53,9.09
278,11.4,8.96
279,11.4,8.83
280,11.27,8.83
281,11.27,8.83
282,11.27,8.82
283,11.4,8.83
284,11.27,8.96
285,11.41,8.82
286,11.27,8.82
287,11.15,8.69
288,11.02,8.69
289,11.02,8.7
290,10.9,8.56
291,10.9,8.43
292,10.65,8.43
293,10.77,8.31
294,10.77,8.3
295,10.65,8.3
296,10.65,8.3
297,10.65,8.43
298,10.65,8.17
299,10.52,8.17
300,10.65,8.17
301,10.39,8.17
302,10.52,8.04
303,10.39,8.04
304,10.39,8.04
305,10.39,8.17
306,10.14,8.04
307,10.26,7.91
308,10.27,7.91
309,10.26,8.04
310,10.39,8.04
311,10.39,8.17
312,10.52,8.3
313,10.65,8.3
314,10.52,8.3
315,10.51,8.3
316,10.39,8.17
317,10.39,8.04
318,10.27,8.04
319,10.26,7.91
320,10.27,7.91
321,10.27,7.91
322,10.26,7.91
323,10.27,8.04
324,10.26,8.17
325,10.39,8.04
326,10.51,8.17
327,10.65,8.3
328,10.65,8.43
329,10.65,8.43
330,10.77,8.43
331,10.77,8.56
332,10.9,8.56
333,10.77,8.56
334,10.77,8.56
335,10.77,8.43
336,10.77,8.56
337,10.65,8.43
338,10.52,8.3
339,10.65,8.3
340,10.65,8.3
341,10.76,8.3
342,10.77,8.43
343,10.77,8.56
344,10.9,8.56
345,10.9,8.43
346,10.77,8.43
347,10.77,8.43
348,10.65,8.56
349,10.64,8.43
350,10.65,8.43
351,10.76,8.43
352,10.64,8.43
353,10.65,8.43
354,10.64,8.3
355,10.65,8.3
356,10.65,8.3
357,10.65,8.3
358,10.76,8.3
359,10.77,8.43
360,10.89,8.56
361,10.9,8.56
362,11.02,8.56
363,11.02,8.56
364,11.02,8.56
365,11.15,8.68
366,11.01,8.68
367,11.02,8.56
368,11.01,8.56
369,11.02,8.56
370,11.02,8.56
371,10.77,8.43
372,10.9,8.43
373,10.76,8.43
374,10.89,8.43
375,11.01,8.43
376,11.01,8.56
377,11.15,8.56
378,11.15,8.56
379,11.27,8.69
380,11.27,8.68
381,11.4,8.68
382,11.27,8.69
383,11.26,8.69
384,11.27,8.68
385,11.26,8.56
386,11.14,8.56
387,11.27,8.56
388,11.27,8.56
389,11.4,8.68
390,11.4,8.68
391,11.41,8.68
392,11.52,8.68
393,11.39,8.69
394,11.52,8.69
395,11.4,8.68
396,11.52,8.68
397,11.52,8.68
398,11.66,8.82
399,11.65,8.68
400,11.65,8.81
401,11.65,8.82
402,11.52,8.68
403,11.52,8.56
404,11.52,8.56
405,11.66,8.56
406,11.65,8.68
407,11.77,8.68
408,11.64,8.68
409,11.65,8.56
410,11.77,8.56
411,11.77,8.56
412,11.77,8.56
413,11.78,8.56
414,11.77,8.56
415,11.9,8.68
416,11.9,8.68
417,11.9,8.56
418,11.9,8.56
419,11.9,8.56
420,11.9,8.43
421,11.9,8.56
422,11.9,8.56
423,11.9,8.56
424,12.02,8.56
425,11.9,8.56
426,11.91,8.56
427,11.9,8.56
428,11.91,8.56
429,11.9,8.56
430,12.02,8.56
431,12.02,8.56
432,11.91,8.56
433,12.03,8.56
434,12.15,8.43
435,12.03,8.56
436,12.02,8.56
437,12.03,8.43
438,11.9,8.43
439,12.03,8.56
440,11.9,8.43
441,12.03,8.43
442,11.9,8.3
443,11.91,8.3
444,11.9,8.3
445,11.65,8.29
446,11.77,8.3
447,11.77,8.3
448,11.66,8.3
449,11.77,8.17
450,11.65,8.3
451,11.77,8.17
452,11.65,8.3
453,11.9,8.3
454,11.77,8.3
455,11.91,8.3
456,11.9,8.43
457,11.9,8.43
458,11.9,8.43
459,11.9,8.43
460,11.9,8.43
461,11.9,8.3
462,11.9,8.3
463,11.91,8.3
464,11.91,8.43
465,11.9,8.3
466,11.78,8.3
467,11.9,8.3
468,11.78,8.3
469,11.91,8.43
470,11.91,8.3
471,11.77,8.17
472,11.77,8.17
473,11.77,8.17
474,11.53,8.04
475,11.52,8.03
476,11.4,8.03
477,11.52,8.03
478,11.4,7.9
479,11.27,7.9
480,11.27,7.78
481,11.15,7.65
482,11.15,7.77
483,11.28,7.77
484,11.27,7.77
485,11.27,7.9
486,11.27,7.91
487,11.27,7.78
488,11.15,7.77
489,11.27,7.78
490,11.27,7.78
491,11.28,7.77
492,11.15,7.64
493,11.27,7.78
494,11.28,7.77
495,11.16,7.77
496,11.27,7.64
497,11.02,7.64
498,11.02,7.65
499,11.02,7.51
500,10.77,7.51
501,10.9,7.51
502,10.9,7.51
503,11.02,7.51
504,10.9,7.51
505,10.9,7.64
506,11.02,7.64
507,10.9,7.51
508,10.9,7.38
509,10.77,7.38
510,10.9,7.38
511,10.77,7.38
512,10.65,7.38
513,10.77,7.38
514,10.77,7.38
515,10.65,7.39
516,10.65,7.38
517,10.77,7.38
518,10.52,7.38
519,10.39,7.25
520,10.39,7.25
521,10.52,7.25
522,10.51,7.38
523,10.65,7.38
524,10.65,7.38
525,10.64,7.51
526,10.65,7.51
527,10.65,7.38
528,10.51,7.38
529,10.52,7.38
530,10.52,7.38
531,10.52,7.38
532,10.39,7.38
533,10.52,7.51
534,10.52,7.38
535,10.52,7.38
536,10.52,7.38
537,10.39,7.38
538,10.52,7.51
539,10.52,7.51
540,10.51,7.51
541,10.51,7.51
542,10.51,7.51
543,10.65,7.64
544,10.65,7.64
545,10.65,7.77
546,10.77,7.77
547,10.65,7.77
548,10.77,7.9
549,10.77,7.9
550,10.9,8.02
551,10.9,8.03
552,10.9,8.03
553,10.9,8.03
554,10.9,7.89
555,10.77,8.03
556,10.77,7.9
557,10.77,8.02
558,10.77,7.9
559,10.77,7.9
560,10.77,7.89
561,10.77,7.9
562,10.65,7.77
563,10.65,7.77
564,10.52,7.64
565,10.65,7.64
566,10.52,7.64
567,10.65,7.64
568,10.64,7.64
569,10.77,7.64
570,10.65,7.77
571,10.77,7.64
572,10.76,7.64
573,10.9,7.64
574,10.65,7.64
575,10.89,7.77
576,10.77,7.77
577,10.77,7.64
578,10.77,7.64
579,10.9,7.77
580,10.9,7.77
581,10.89,7.77
582,10.9,7.64
583,10.9,7.64
584,10.9,7.64
585,10.9,7.64
586,11.02,7.64
587,11.02,7.64
588,10.9,7.64
589,11.15,7.77
590,11.02,7.64
591,11.02,7.64
592,11.15,7.77
593,11.15,7.77
594,11.27,7.77
595,11.27,7.77
596,11.27,7.77
597,11.27,7.77
598,11.27,7.89
599,11.52,7.9
600,11.4,7.9
601,11.4,7.9
602,11.4,7.9
603,11.52,7.9
604,11.52,7.9
605,11.52,7.9
606,11.52,7.89
607,11.52,8.03
608,11.65,7.77
609,11.65,7.9
610,11.52,7.77
611,11.65,7.77
612,11.65,7.77
613,11.52,7.77
614,11.65,7.9
615,11.65,7.9
616,11.65,7.77
617,11.52,7.64
618,11.4,7.64
619,11.27,7.64
620,11.16,7.51
621,11.15,7.51
622,11.27,7.38
623,11.15,7.51
624,11.15,7.38
625,11.15,7.51
626,11.15,7.51
627,11.15,7.38
628,11.15,7.51
629,11.15,7.51
630,11.02,7.38
631,11.02,7.38
632,11.02,7.38
633,10.77,7.38
634,10.9,7.25
635,11.02,7.25
636,10.9,7.25
637,10.76,7.25
638,10.9,7.25
639,10.9,7.25
640,10.9,7.25
641,10.9,7.25
642,10.9,7.25
643,10.9,7.38
644,10.9,7.25
645,10.9,7.25
646,11.02,7.38
647,11.16,7.51
648,11.02,7.38
649,11.02,7.38
650,11.15,7.51
651,11.02,7.38
652,11.02,7.38
653,11.02,7.51
654,11.02,7.51
655,11.02,7.38
656,10.9,7.38
657,11.02,7.38
658,11.02,7.38
